id_subsistema;nom_subsistema;din_instante;val_gerhidraulica;val_gertermica;val_gereolica;val_gersolar;val_carga;val_intercambio
N;NORTE;2026-01-01 23:00:00;13423.954;1576.269;327.848;0.0;8681.054;6647.017
SIN;SISTEMA INTERLIGADO NACIONAL;2026-01-01 23:00:00;65110.252;9537.616;7144.002;1.0;81792.87;0.0
SE;SUDESTE/CENTRO-OESTE;2026-01-01 23:00:00;33497.44599999;7111.118;19.259;0.0;45771.36599999;-5143.543
S;SUL;2026-01-01 23:00:00;13792.85099999;181.906;104.221;1.0;12639.31799999;1440.66
NE;NORDESTE;2026-01-02 00:00:00;3044.687;668.332;6345.09099999;0.0;14505.21399999;-4447.10399999
N;NORTE;2026-01-02 00:00:00;13160.037;1566.266;341.469;0.0;8573.22499999;6494.547
SIN;SISTEMA INTERLIGADO NACIONAL;2026-01-02 00:00:00;62497.416;9545.163;6799.429;1.0;78843.01;0.0
SE;SUDESTE/CENTRO-OESTE;2026-01-02 00:00:00;31575.48399999;7142.15399999;17.811;0.0;43785.14199999;-5049.69299999
S;SUL;2026-01-02 00:00:00;14717.208;168.411;95.058;1.0;11979.427;3002.25
NE;NORDESTE;2026-01-02 01:00:00;2976.723;680.096;5198.16;0.0;14180.39;-5325.411
N;NORTE;2026-01-02 01:00:00;12421.642;1576.534;278.457;0.0;8420.567;5856.066
SIN;SISTEMA INTERLIGADO NACIONAL;2026-01-02 01:00:00;60959.377;9562.624;5557.724;1.0;76080.73;0.0
SE;SUDESTE/CENTRO-OESTE;2026-01-02 01:00:00;30559.035;7117.301;17.805;0.0;42138.941;-4444.79999999
S;SUL;2026-01-02 01:00:00;15001.977;188.693;63.30199999;1.0;11340.827;3914.145
NE;NORDESTE;2026-01-02 02:00:00;2976.549;683.33499999;3970.979;0.0;14013.255;-6382.392
N;NORTE;2026-01-02 02:00:00;10832.288;1577.696;267.777;0.0;8195.474;4482.287
SIN;SISTEMA INTERLIGADO NACIONAL;2026-01-02 02:00:00;60249.871;9544.411;4310.609;1.0;74105.89;0.0
SE;SUDESTE/CENTRO-OESTE;2026-01-02 02:00:00;31465.64;7088.10699999;17.567;0.0;41007.734;-2436.42
